NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,RANDOM SEED,CUT SETTING,STATUS,END
arki001.mps.gz,1273480.9,0,0,7579621.852,7580813.071,3363.82861,0.115896,7580813.071,0,1383,0,0,1761208,4,0,optimal,DONE
arki001.mps.gz,1273480.9,0,0,7579621.852,7580813.071,3314.49415,0.138071,7580813.071,0,1383,0,0,1761208,8,0,optimal,DONE
arki001.mps.gz,1273480.9,0,0,7579621.852,7580813.071,3333.160491,0.119864,7580813.071,0,1383,0,0,1761208,16,0,optimal,DONE
arki001.mps.gz,1273480.9,0,0,7579621.852,7580813.071,2786.600859,0.125997,7580813.071,0,1383,0,0,1761208,32,0,optimal,DONE
assign1-5-8.mps.gz,48,0,0,184.2389269,212,18000.12524,0.03963,212,0.039543375,342,0,0,33511446,2,0,timelimit,DONE
assign1-5-8.mps.gz,48,0,0,184.2389269,212,18000.1358,0.032497,212,0.039278548,342,0,0,34291004,4,0,timelimit,DONE
assign1-5-8.mps.gz,48,0,0,184.2389269,212,18000.14208,0.035221,212,0.038994675,342,0,0,35136174,8,0,timelimit,DONE
assign1-5-8.mps.gz,48,0,0,184.2389269,212,18000.13942,0.034765,212,0.038793015,342,0,0,35765721,16,0,timelimit,DONE
assign1-5-8.mps.gz,48,0,0,184.2389269,212,18000.13507,0.033892,212,0.038366548,342,0,0,37117234,32,0,timelimit,DONE
atlanta-ip.mps.gz,3.001578657,0,0,81.29732492,91.00981807,18000.00502,2.304066,91.00981807,0.015333493,37122,0,0,112623,2,0,timelimit,DONE
atlanta-ip.mps.gz,3.001578657,0,0,81.29732492,91.00981807,18000.00134,2.045454,91.00981807,0.013583165,37122,0,0,120711,4,0,timelimit,DONE
atlanta-ip.mps.gz,3.001578657,0,0,81.29732492,91.00981807,18000.01578,2.221244,91.00981807,0.011110215,37122,0,0,127591,8,0,timelimit,DONE
atlanta-ip.mps.gz,3.001578657,0,0,81.29732492,91.00981807,18000.00414,2.269163,91.00981807,0.011109411,37122,0,0,132687,16,0,timelimit,DONE
atlanta-ip.mps.gz,3.001578657,0,0,81.29732492,90.00987861,17645.28321,2.162056,90.00987861,0,37122,0,0,138207,32,0,optimal,DONE
atm20-100.mps.gz,361505.4114,0,0,2141821.84,1112410.531,18000.0131,4.776932,1.00E+20,1.00E+20,11654,0,0,800880,2,0,timelimit,DONE
atm20-100.mps.gz,361505.4114,0,0,2141821.84,1660227.655,18000.00852,4.138036,1.00E+20,1.00E+20,11654,0,0,863056,4,0,timelimit,DONE
atm20-100.mps.gz,361505.4114,0,0,2141821.84,680088.7504,18000.00919,4.754142,1.00E+20,1.00E+20,11654,0,0,898758,8,0,timelimit,DONE
atm20-100.mps.gz,361505.4114,0,0,2141821.84,1367450.688,18000.00913,4.798654,1.00E+20,1.00E+20,11654,0,0,920137,16,0,timelimit,DONE
atm20-100.mps.gz,361505.4114,0,0,2141821.84,1071009.919,18000.01106,4.470672,1.00E+20,1.00E+20,11654,0,0,975166,32,0,timelimit,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.9046681,1470.475074,0.667859,106.9046681,0,7800,0,0,95605,2,0,optimal,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.9046681,1478.613914,0.650476,106.9046681,0,7800,0,0,95605,4,0,optimal,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.9046681,1561.842494,0.693323,106.9046681,0,7800,0,0,95605,8,0,optimal,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.9046681,1623.548126,0.736011,106.9046681,0,7800,0,0,95605,16,0,optimal,DONE
australia-abs-cta.mps.gz,0,0,0,0,106.9046681,1624.699351,0.784201,106.9046681,0,7800,0,0,95605,32,0,optimal,DONE
b2c1s1.mps.gz,-8635.4,0,0,5442.898687,25789.63,18000.0261,0.23191,25789.63,0.737372251,5518,0,0,1814618,2,0,timelimit,DONE
b2c1s1.mps.gz,-8635.4,0,0,5442.898687,25789.63,18000.03029,0.215308,25789.63,0.733723678,5518,0,0,1891160,4,0,timelimit,DONE
b2c1s1.mps.gz,-8635.4,0,0,5442.898687,25789.63,18000.02929,0.229682,25789.63,0.730364347,5518,0,0,1974109,8,0,timelimit,DONE
b2c1s1.mps.gz,-8635.4,0,0,5442.898687,25789.63,18000.02998,0.219767,25789.63,0.72676907,5518,0,0,2054468,16,0,timelimit,DONE
b2c1s1.mps.gz,-8635.4,0,0,5442.898687,25789.63,18000.03043,0.211492,25789.63,0.726820283,5518,0,0,2052854,32,0,timelimit,DONE
