,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
19,19,neos-807639.mps.gz,18.8961038,8.6638636,2243.0,1797.0,1,1,1,0,8.6638636,1797.0,18.8961038,18.8961038,18.8961038,2243.0,2243.0,2243.0
20,20,mcsched.mps.gz,236.5687694,207.99019779999998,4272.0,20843.0,1,1,1,0,207.99019779999998,4272.0,236.5687694,236.5687694,236.5687694,4272.0,4272.0,4272.0
21,21,drayage-25-23.mps.gz,16.5980348,104.86062240000001,266.0,17749.0,1,1,1,1,16.5980348,266.0,16.5980348,16.5980348,16.5980348,266.0,266.0,266.0
22,22,csched010.mps.gz,2597.4028008,4024.0798906000005,98303.0,1030671.0,1,1,1,1,2597.4028008,98303.0,2597.4028008,2597.4028008,2597.4028008,98303.0,98303.0,98303.0
23,23,chromaticindex512-7.mps.gz,4801.0580138,1108.1014036000001,36950.0,375.0,0,1,0,0,1108.1014036000001,375.0,1108.1014036000001,1108.1014036000001,4801.0580138,375.0,375.0,36950.0
24,24,eilC76-2.mps.gz,2466.7006738,6142.230986199999,7851.0,40399.0,1,1,1,1,2466.7006738,7851.0,2466.7006738,2466.7006738,2466.7006738,7851.0,7851.0,7851.0
25,25,ran12x21.mps.gz,75.6680996,374.68957080000007,2246.0,588324.0,1,1,1,1,75.6680996,2246.0,75.6680996,75.6680996,75.6680996,2246.0,2246.0,2246.0
26,26,shipschedule8shipsmixuci.mps.gz,87.8743046,97.5598272,1822.0,1222.0,1,1,1,1,87.8743046,1222.0,87.8743046,87.8743046,87.8743046,1822.0,1822.0,1822.0
27,27,sorrell3.mps.gz,17136.851638,18015.731236000003,33190.0,813520.8,1,1,1,1,17136.851638,33190.0,17136.851638,17136.851638,17136.851638,33190.0,33190.0,33190.0
28,28,decomp2.mps.gz,82.51137999999999,11.115301800000001,6.0,336.0,0,1,1,0,11.115301800000001,6.0,82.51137999999999,11.115301800000001,82.51137999999999,6.0,336.0,6.0
29,29,supportcase17.mps.gz,22.9367318,10.7275716,264.0,2388.0,1,1,1,0,10.7275716,264.0,22.9367318,22.9367318,22.9367318,264.0,264.0,264.0
