,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
20,air04.mps.gz,-83210.0,55558.52412719808,24,55749.07964740884,56137.0,70.441392,56137.0,0.0,764,103,0,134,7.102949,12.705034,25.190964,8,1,optimal,DONE
20,air04.mps.gz,-83210.0,55558.52412719808,24,55749.07964740884,56137.0,71.370797,56137.0,0.0,764,103,0,134,7.933835,13.800522,26.227641,2,1,optimal,DONE
21,air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,56.374523,26374.0,0.0,466,57,0,523,0.529365,2.822458,9.039045,32,1,optimal,DONE
21,air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,57.334981,26374.0,0.0,466,57,0,523,0.580985,2.889294,9.170316,8,1,optimal,DONE
21,air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,57.334971,26374.0,0.0,466,57,0,523,0.580985,2.916576,9.184378,2,1,optimal,DONE
21,air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,57.008021,26374.0,0.0,466,57,0,523,0.576624,2.884457,9.156586,4,1,optimal,DONE
21,air05.mps.gz,-40465.0,25910.38419520768,4,25966.549980305383,26374.0,58.97836,26374.0,0.0,466,57,0,523,0.5808949999999999,2.890926,9.408521,16,1,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.894577,2713.0,0.0,6407,438,0,979,0.093469,0.4523749999999999,28.561087,32,1,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.97826,2713.0,0.0,6407,438,0,979,0.091393,0.4524709999999999,28.581565,16,1,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.978257,2713.0,0.0,6407,438,0,979,0.0912859999999999,0.452119,28.580024,4,1,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,44.946987,2713.0,0.0,6407,438,0,979,0.0925329999999999,0.452125,28.563399,8,1,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,2659.7265675585027,21,2678.210564395061,2713.0,43.895817,2713.0,0.0,6407,438,0,979,0.0946269999999999,0.451779,28.02105,2,1,optimal,DONE
23,app1-1.mps.gz,-23.0,-21.62335335868207,113,-3.0,-3.0,7.963214,-3.0,0.0,6524,84,0,12,0.482726,0.584911,7.941696,2,1,optimal,DONE
