,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
18,aflow40b.mps.gz,-66091.0,0,0,1005.6648165120567,1168.0,13659.934815999999,1168.0,0.0,2608,0,0,5221215,0.277191,0,0,8,0,optimal,DONE
19,air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.197458,340160.0,0.0,212,0,0,1,0.9040940000000001,0,0,8,0,optimal,DONE
19,air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.197523,340160.0,0.0,212,0,0,1,0.905227,0,0,16,0,optimal,DONE
19,air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.0357220000000003,340160.0,0.0,212,0,0,1,0.8267439999999999,0,0,4,0,optimal,DONE
19,air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.034634,340160.0,0.0,212,0,0,1,0.826685,0,0,2,0,optimal,DONE
19,air03.mps.gz,-513715782.0,0,0,338864.25,340160.0,2.197523,340160.0,0.0,212,0,0,1,0.905191,0,0,32,0,optimal,DONE
20,air04.mps.gz,-83210.0,0,0,55535.436388224276,56137.0,89.50780999999999,56137.0,0.0,600,0,0,499,7.480478,0,0,16,0,optimal,DONE
20,air04.mps.gz,-83210.0,0,0,55535.436388224276,56137.0,90.57310799999999,56137.0,0.0,600,0,0,499,8.058380999999999,0,0,4,0,optimal,DONE
20,air04.mps.gz,-83210.0,0,0,55535.436388224276,56137.0,87.383561,56137.0,0.0,600,0,0,499,6.350346,0,0,2,0,optimal,DONE
20,air04.mps.gz,-83210.0,0,0,55535.436388224276,56137.0,88.966186,56137.0,0.0,600,0,0,499,7.967716,0,0,32,0,optimal,DONE
20,air04.mps.gz,-83210.0,0,0,55535.436388224276,56137.0,89.537808,56137.0,0.0,600,0,0,499,7.377371000000001,0,0,8,0,optimal,DONE
21,air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,60.978138,26374.0,0.0,342,0,0,722,0.658189,0,0,4,0,optimal,DONE
21,air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,60.978103000000004,26374.0,0.0,342,0,0,722,0.658087,0,0,2,0,optimal,DONE
21,air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,62.69277099999999,26374.0,0.0,342,0,0,722,0.7854979999999999,0,0,32,0,optimal,DONE
21,air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,61.566839,26374.0,0.0,342,0,0,722,0.783416,0,0,16,0,optimal,DONE
21,air05.mps.gz,-40465.0,0,0,25877.60926785141,26374.0,60.977987,26374.0,0.0,342,0,0,722,0.6582749999999999,0,0,8,0,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,21.213395000000002,2713.0,0.0,708,0,0,343,0.094569,0,0,32,0,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.754601,2713.0,0.0,708,0,0,343,0.094568,0,0,8,0,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.747071,2713.0,0.0,708,0,0,343,0.09462000000000001,0,0,16,0,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.875486,2713.0,0.0,708,0,0,343,0.09783700000000001,0,0,4,0,optimal,DONE
22,aligninq.mps.gz,2654.736802205333,0,0,2654.736802205333,2713.0,20.880211,2713.0,0.0,708,0,0,343,0.09783700000000001,0,0,2,0,optimal,DONE
23,app1-1.mps.gz,-23.0,0,0,-3.9938278537173253,-3.0,0.78474,-3.0,0.0,2419,0,0,4,0.478221,0,0,8,0,optimal,DONE
23,app1-1.mps.gz,-23.0,0,0,-3.9938278537173253,-3.0,0.7880689999999999,-3.0,0.0,2419,0,0,4,0.48237,0,0,32,0,optimal,DONE
23,app1-1.mps.gz,-23.0,0,0,-3.9938278537173253,-3.0,0.7847689999999999,-3.0,0.0,2419,0,0,4,0.478223,0,0,2,0,optimal,DONE
23,app1-1.mps.gz,-23.0,0,0,-3.9938278537173253,-3.0,0.7882640000000001,-3.0,0.0,2419,0,0,4,0.482565,0,0,16,0,optimal,DONE
23,app1-1.mps.gz,-23.0,0,0,-3.9938278537173253,-3.0,0.7847409999999999,-3.0,0.0,2419,0,0,4,0.47822200000000004,0,0,4,0,optimal,DONE
24,app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,558.214553,-41.0,0.0,26555,0,0,11191,11.22743,0,0,8,0,optimal,DONE
24,app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,410.107054,-41.0,0.0,26555,0,0,11191,9.249509,0,0,4,0,optimal,DONE
24,app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,540.9528799999999,-41.0,0.0,26555,0,0,11191,10.283307,0,0,16,0,optimal,DONE
24,app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,409.957691,-41.0,0.0,26555,0,0,11191,9.152699,0,0,2,0,optimal,DONE
24,app1-2.mps.gz,-266.0,0,0,-53.94147364434894,-41.0,540.3764219999999,-41.0,0.0,26555,0,0,11191,10.355139999999999,0,0,32,0,optimal,DONE
25,app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.478022,19294.25,0.0,997,0,0,1,0.21730700000000003,0,0,32,0,optimal,DONE
25,app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.443466,19294.25,0.0,997,0,0,1,0.207064,0,0,2,0,optimal,DONE
