,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
473,dc1c.mps.gz,16,18000.00119,68726,18000.0009,11079,0.010549178000000001,0.03936135,18000.0009,11079
474,dc1c.mps.gz,32,18000.00183,68704,18000.00115,12999,0.010549178000000001,0.039351639,18000.00115,12999
490,dg012142.mps.gz,2,18000.004719999997,1052673,18000.04436,4805249,0.852581328,1.5224419630000001,18000.004719999997,1052673
491,dg012142.mps.gz,4,18000.00485,1074142,18000.04276,4419702,0.845940219,1.535438951,18000.00485,1074142
492,dg012142.mps.gz,8,18000.00475,1052017,18000.039940000002,4320787,0.8527550079999999,1.539075124,18000.00475,1052017
493,dg012142.mps.gz,16,18000.00477,1108156,18000.038119999997,4422826,0.8392080759999999,1.535350842,18000.00477,1108156
494,dg012142.mps.gz,32,18000.00367,1063995,18000.045159999998,4691669,0.8483665420000001,1.526223933,18000.00367,1063995
500,dolom1.mps.gz,2,18000.00155,6058,18000.00091,4784,5.896336656,15.32416996,18000.00091,4784
501,dolom1.mps.gz,4,18000.000509999998,6224,18000.001780000002,4967,5.896309529,15.32416996,18000.000509999998,4967
502,dolom1.mps.gz,8,18000.00155,6053,18000.00115,5015,5.896336656,15.32416996,18000.00115,5015
503,dolom1.mps.gz,16,18000.00096,5863,18000.001659999998,5859,5.89644437,15.32416996,18000.00096,5859
504,dolom1.mps.gz,32,18000.00073,5678,18000.00096,5644,5.896473756000001,15.32416996,18000.00073,5644
530,ds.mps.gz,2,18000.00613,1670,18000.00716,1416,6.749570293,5.5300730279999994,18000.00613,1416
531,ds.mps.gz,4,18000.00906,1812,18000.002480000003,1203,6.7463084360000005,5.5300730279999994,18000.002480000003,1203
532,ds.mps.gz,8,18000.00175,1459,18000.00463,1365,6.749796151,5.5300730279999994,18000.00175,1365
533,ds.mps.gz,16,18000.002230000002,1616,18000.002109999998,1390,6.749570293,5.5300730279999994,18000.002109999998,1390
534,ds.mps.gz,32,18000.04998,1646,18000.00316,1390,6.749570293,5.5300730279999994,18000.00316,1390
540,dws008-03.mps.gz,2,18000.00336,164112,18000.0072,501214,1.3591703069999999,1.072167083,18000.00336,164112
