,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
200,rentacar.mps.gz,1.6117329999999999,3.9376166,8.0,10.0,1,1,1,1,1.6117329999999999,8.0,1.6117329999999999,1.6117329999999999,1.6117329999999999,8.0,8.0,8.0
201,neos-3004026-krka.mps.gz,371.2821294,100.1624576,13955.0,5663.0,0,1,1,0,100.1624576,5663.0,371.2821294,100.1624576,371.2821294,13955.0,5663.0,13955.0
202,rout.mps.gz,20.869835000000002,23.226486599999998,1366.0,10946.0,1,1,1,1,20.869835000000002,1366.0,20.869835000000002,20.869835000000002,20.869835000000002,1366.0,1366.0,1366.0
203,f2gap401600.mps.gz,0.5830056,512.4161252,1.0,198577.0,1,1,1,1,0.5830056,1.0,0.5830056,0.5830056,0.5830056,1.0,1.0,1.0
204,neos-565672.mps.gz,13295.056427200001,31295.0664996,1.0,3113.4,1,1,1,1,13295.056427200001,1.0,13295.056427200001,13295.056427200001,13295.056427200001,1.0,1.0,1.0
205,ab71-20-100.mps.gz,199.4783308,206.94809260000002,699.0,706.0,1,1,1,1,199.4783308,699.0,199.4783308,199.4783308,199.4783308,699.0,699.0,699.0
206,noswot.mps.gz,28.409096200000004,96.43855339999999,54539.0,325750.0,1,1,1,1,28.409096200000004,54539.0,28.409096200000004,28.409096200000004,28.409096200000004,54539.0,54539.0,54539.0
207,fhnw-binpack4-48.mps.gz,85.30917040000001,94.2875138,24649.0,40138.0,1,1,1,1,85.30917040000001,24649.0,85.30917040000001,85.30917040000001,85.30917040000001,24649.0,24649.0,24649.0
208,neos-787933.mps.gz,3.2287155999999997,2.8909084,1.0,1.0,0,1,0,0,2.8909084,1.0,2.8909084,2.8909084,3.2287155999999997,1.0,1.0,1.0
209,bienst2.mps.gz,791.2176833999999,338.2013332,80837.0,102409.0,0,1,1,0,338.2013332,80837.0,791.2176833999999,338.2013332,791.2176833999999,80837.0,102409.0,80837.0
210,supportcase7.mps.gz,188.47620419999998,258.36649099999994,24.0,3061.0,1,1,1,1,188.47620419999998,24.0,188.47620419999998,188.47620419999998,188.47620419999998,24.0,24.0,24.0
211,csched008.mps.gz,997.0527198,1283.0683348,56979.0,177227.0,1,1,1,1,997.0527198,56979.0,997.0527198,997.0527198,997.0527198,56979.0,56979.0,56979.0
212,bmocbd.mps.gz,61.76835900000001,64.49014220000001,1.0,1.0,1,1,1,1,61.76835900000001,1.0,61.76835900000001,61.76835900000001,61.76835900000001,1.0,1.0,1.0
213,neos-820879.mps.gz,51.4950206,130.82793619999998,123.0,3015.0,1,1,1,1,51.4950206,123.0,51.4950206,51.4950206,51.4950206,123.0,123.0,123.0
214,chromaticindex32-8.mps.gz,1.2355254,4.0261532,1.0,249.0,1,1,1,1,1.2355254,1.0,1.2355254,1.2355254,1.2355254,1.0,1.0,1.0
215,neos-3665875-lesum.mps.gz,11191.473609600002,18168.661689800003,339994.0,1342478.2,1,1,1,1,11191.473609600002,339994.0,11191.473609600002,11191.473609600002,11191.473609600002,339994.0,339994.0,339994.0
216,p0201.mps.gz,0.6728649999999999,0.7649896,15.0,85.0,1,1,1,1,0.6728649999999999,15.0,0.6728649999999999,0.6728649999999999,0.6728649999999999,15.0,15.0,15.0
217,osorio-cta.mps.gz,2.4897904,4.2688276,127.0,187.0,1,1,1,1,2.4897904,127.0,2.4897904,2.4897904,2.4897904,127.0,127.0,127.0
218,pk1.mps.gz,112.56722199999999,91.913647,325579.0,372837.0,0,1,0,0,91.913647,325579.0,91.913647,91.913647,112.56722199999999,372837.0,372837.0,325579.0
219,lectsched-4-obj.mps.gz,6.439342600000001,25.702099000000004,5.0,1395.0,1,1,1,1,6.439342600000001,5.0,6.439342600000001,6.439342600000001,6.439342600000001,5.0,5.0,5.0
220,neos-4359986-taipa.mps.gz,18000.013354,21355.355027,1.0,544.0,1,1,1,1,18000.013354,1.0,18000.013354,18000.013354,18000.013354,1.0,1.0,1.0
221,dano3_5.mps.gz,527.6915971999999,559.5763428,229.0,138.0,1,1,1,1,527.6915971999999,138.0,527.6915971999999,527.6915971999999,527.6915971999999,229.0,229.0,229.0
222,ns1760995.mps.gz,17456.574543199997,33582.0833566,871.6,1.0,1,1,1,1,17456.574543199997,1.0,17456.574543199997,17456.574543199997,17456.574543199997,871.6,871.6,871.6
223,map18.mps.gz,266.17980480000006,408.9213812,306.0,799.0,1,1,1,1,266.17980480000006,306.0,266.17980480000006,266.17980480000006,266.17980480000006,306.0,306.0,306.0
224,neos-3083784-nive.mps.gz,0.0504784,0.0482474,1.0,1.0,0,1,0,0,0.0482474,1.0,0.0482474,0.0482474,0.0504784,1.0,1.0,1.0
225,app1-2.mps.gz,1647.7680719999996,865.1337881999999,40804.0,11191.0,0,1,1,0,865.1337881999999,11191.0,1647.7680719999996,865.1337881999999,1647.7680719999996,40804.0,11191.0,40804.0
226,bnatt400.mps.gz,278.49436319999995,233.7463172,4071.0,6778.0,0,1,1,0,233.7463172,4071.0,278.49436319999995,233.7463172,278.49436319999995,4071.0,6778.0,4071.0
227,10teams.mps.gz,10.6121332,15.390291399999999,30.0,276.0,1,1,1,1,10.6121332,30.0,10.6121332,10.6121332,10.6121332,30.0,30.0,30.0
228,neos-3610040-iskar.mps.gz,3.0390189999999997,11.313135,197.0,8620.0,1,1,1,1,3.0390189999999997,197.0,3.0390189999999997,3.0390189999999997,3.0390189999999997,197.0,197.0,197.0
