NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
disctom.mps.gz,-5000.0,0,0,-5000.0,-5000.0,8.419023,0.292325,-5000.0,0.0,394,0,0,1,0.311214,0,0,4,0,optimal,DONE
drayage-100-12.mps.gz,91134.07608032227,0,0,91134.07608032224,94941.58910751341,1512.194615,7.470651,94941.58910751341,0.0,1171,0,0,217992,7.380873,0,0,4,0,optimal,DONE
drayage-100-23.mps.gz,103333.87407302856,0,0,103333.87407302856,103333.87407302856,10.130462,7.961169,103333.87407302856,0.0,680,0,0,12,7.985098,0,0,4,0,optimal,DONE
drayage-25-23.mps.gz,99718.79053115842,0,0,99718.79053115843,101282.64701843262,115.208302,8.379381,101282.64701843262,0.0,1899,0,0,17749,8.227466,0,0,4,0,optimal,DONE
drayage-25-27.mps.gz,95288.77935278724,0,0,95288.77935278724,102183.50532531734,7558.203164,8.611725,102183.50532531734,0.0,1937,0,0,929340,8.396179,0,0,4,0,optimal,DONE
drayage-25-32.mps.gz,88256.30653381345,0,0,88256.30653381345,91395.84915161127,1240.123944,8.041803,91395.84915161127,0.0,1469,0,0,136931,7.943662,0,0,4,0,optimal,DONE
dsbmip.mps.gz,-132008.45875044586,0,0,-305.19817500948136,-305.19817500948227,0.889408,0.135462,-305.19817500948227,0.0,1300,0,0,10,0.127421,0,0,4,0,optimal,DONE
eil33-2.mps.gz,-5984556.395949088,0,0,811.6609845122612,934.0079159999996,124.959764,0.490065,934.0079159999996,0.0,32,0,0,565,0.504081,0,0,4,0,optimal,DONE
eilA101-2.mps.gz,-36611038.04935484,0,0,803.9620897338918,948.8696149999987,18000.034409,46.29353,948.8696149999987,0.15640596015824287,200,0,0,5155,20.702309,0,0,4,0,timelimit,DONE
eilC76-2.mps.gz,-12133722.198931783,0,0,725.8544485436141,762.5147819999988,7090.616421,20.041757,762.5147819999988,0.0,225,0,0,40399,5.847156,0,0,4,0,optimal,DONE
ej.mps.gz,1.0,0,0,1.0,6365.0,18000.374047,0.009913,1e+20,1e+20,1,0,0,36157624,0.010520999999999999,0,0,4,0,timelimit,DONE
enlight8.mps.gz,0,0,0,0,27.0,0.012522,0.010454999999999999,27.0,0.0,64,0,0,1,0.011271,0,0,4,0,optimal,DONE
enlight_hard.mps.gz,0,0,0,0,37.0,0.017835999999999998,0.014714999999999999,37.0,0.0,100,0,0,1,0.015908,0,0,4,0,optimal,DONE
f2gap201600.mps.gz,-770.0,0,0,76429.86229621104,76453.0,988.034419,0.11251599999999999,76453.0,0.0,60,0,0,621511,0.039765999999999996,0,0,4,0,optimal,DONE
f2gap401600.mps.gz,-503.0,0,0,82274.23743419567,82307.0,528.162257,0.130519,82307.0,0.0,80,0,0,198577,0.039277,0,0,4,0,optimal,DONE
f2gap40400.mps.gz,-84.0,0,0,20650.898153963248,20650.898153963248,0.005833,0.024777,20650.898153963248,0.0,190,0,0,1,0.013172999999999999,0,0,4,0,optimal,DONE SOLVED THROUGH LP RELAXATION
f2gap801600.mps.gz,-311.0,0,0,86570.16548383572,86679.0,621.875365,0.24409399999999998,86679.0,0.0,240,0,0,176006,0.041872,0,0,4,0,optimal,DONE
fast0507.mps.gz,16.0,0,0,172.14556667654884,174.0,474.672476,2.7766409999999997,174.0,0.0,440,0,0,1014,2.956057,0,0,4,0,optimal,DONE
fastxgemm-n2r6s0t2.mps.gz,26.999999999999975,0,0,27.000000000000004,230.0,1623.343791,0.329077,230.0,0.0,8790,0,0,237583,0.319994,0,0,4,0,optimal,DONE
fastxgemm-n2r7s4t1.mps.gz,27.0,0,0,27.0,42.0,12305.126914,0.385903,42.0,0.0,9500,0,0,1794161,0.37879999999999997,0,0,4,0,optimal,DONE
fhnw-binpack4-48.mps.gz,0,0,0,0,0.0,92.151896,0.42934999999999995,0.0,0.0,4480,0,0,40138,0.44375699999999996,0,0,4,0,optimal,DONE
fiball.mps.gz,5.0,0,0,138.0,138.0,285.85288,7.031,138.0,0.0,4774,0,0,5442,7.013765,0,0,4,0,optimal,DONE
fiber.mps.gz,58462.8,0,0,207607.39777777778,405935.17999999993,16.334241,0.142204,405935.17999999993,0.0,542,0,0,2602,0.035067,0,0,4,0,optimal,DONE
fjspeasy01i.mps.gz,216.0,0,0,216.0,253.0,313.78984,291.14044,253.0,0.0,33460,0,0,47,290.732474,0,0,4,0,optimal,DONE
